pollutant_a,pollutant_b,n_a,n_b,shared_adsorbents,adsorbent_jaccard,shared_wastewater_types,wastewater_jaccard,shared_exact_nonpollutant_signatures
IBF,CBZ,537,526,6,1.0,1,1.0,158
IBU,NPX,813,156,2,0.4,2,0.6666666666666666,34
DCF,IBU,309,813,2,0.4,2,0.6666666666666666,78
DCF,NPX,309,156,2,1.0,2,1.0,34
NXP,IBU,153,813,2,0.4,2,0.6666666666666666,48
NXP,DCF,153,309,2,1.0,2,1.0,48
NXP,NPX,153,156,2,1.0,2,1.0,4
IBF,EE2,537,255,2,0.3333333333333333,1,1.0,75
IBF,ATE,537,108,2,0.3333333333333333,1,1.0,34
CBZ,EE2,526,255,2,0.3333333333333333,1,1.0,73
CBZ,ATE,526,108,2,0.3333333333333333,1,1.0,34
ALA,DIU,150,150,2,1.0,1,1.0,47
ALA,SIM,150,150,2,1.0,1,1.0,47
DIU,SIM,150,150,2,1.0,1,1.0,47
CAR,PYR,150,150,2,1.0,1,1.0,42
CAR,TEB,150,150,2,1.0,1,1.0,33
PYR,TEB,150,150,2,1.0,1,1.0,33
IBF,ALA,537,150,0,0.0,1,1.0,0
IBF,DIU,537,150,0,0.0,1,1.0,0
IBF,SIM,537,150,0,0.0,1,1.0,0
IBF,CAR,537,150,0,0.0,1,1.0,0
IBF,PYR,537,150,0,0.0,1,1.0,0
IBF,TEB,537,150,0,0.0,1,1.0,0
CBZ,ALA,526,150,0,0.0,1,1.0,0
CBZ,DIU,526,150,0,0.0,1,1.0,0
CBZ,SIM,526,150,0,0.0,1,1.0,0
CBZ,CAR,526,150,0,0.0,1,1.0,0
CBZ,PYR,526,150,0,0.0,1,1.0,0
CBZ,TEB,526,150,0,0.0,1,1.0,0
ALA,EE2,150,255,0,0.0,1,1.0,0
DIU,EE2,150,255,0,0.0,1,1.0,0
SIM,EE2,150,255,0,0.0,1,1.0,0
CAR,EE2,150,255,0,0.0,1,1.0,0
PYR,EE2,150,255,0,0.0,1,1.0,0
TEB,EE2,150,255,0,0.0,1,1.0,0
ALA,CAR,150,150,0,0.0,1,1.0,0
ALA,PYR,150,150,0,0.0,1,1.0,0
ALA,TEB,150,150,0,0.0,1,1.0,0
DIU,CAR,150,150,0,0.0,1,1.0,0
DIU,PYR,150,150,0,0.0,1,1.0,0
DIU,TEB,150,150,0,0.0,1,1.0,0
SIM,CAR,150,150,0,0.0,1,1.0,0
SIM,PYR,150,150,0,0.0,1,1.0,0
SIM,TEB,150,150,0,0.0,1,1.0,0
ALA,ATE,150,108,0,0.0,1,1.0,0
DIU,ATE,150,108,0,0.0,1,1.0,0
SIM,ATE,150,108,0,0.0,1,1.0,0
CAR,ATE,150,108,0,0.0,1,1.0,0
PYR,ATE,150,108,0,0.0,1,1.0,0
TEB,ATE,150,108,0,0.0,1,1.0,0
ATE,EE2,108,255,0,0.0,1,1.0,0
IBF,IBU,537,813,0,0.0,0,0.0,0
IBF,DCF,537,309,0,0.0,0,0.0,0
IBF,NPX,537,156,0,0.0,0,0.0,0
IBF,NXP,537,153,0,0.0,0,0.0,0
CBZ,IBU,526,813,0,0.0,0,0.0,0
CBZ,DCF,526,309,0,0.0,0,0.0,0
CBZ,NPX,526,156,0,0.0,0,0.0,0
CBZ,NXP,526,153,0,0.0,0,0.0,0
EE2,IBU,255,813,0,0.0,0,0.0,0
EE2,DCF,255,309,0,0.0,0,0.0,0
EE2,NPX,255,156,0,0.0,0,0.0,0
EE2,NXP,255,153,0,0.0,0,0.0,0
ALA,IBU,150,813,0,0.0,0,0.0,0
DIU,IBU,150,813,0,0.0,0,0.0,0
SIM,IBU,150,813,0,0.0,0,0.0,0
CAR,IBU,150,813,0,0.0,0,0.0,0
PYR,IBU,150,813,0,0.0,0,0.0,0
TEB,IBU,150,813,0,0.0,0,0.0,0
ALA,DCF,150,309,0,0.0,0,0.0,0
DIU,DCF,150,309,0,0.0,0,0.0,0
SIM,DCF,150,309,0,0.0,0,0.0,0
CAR,DCF,150,309,0,0.0,0,0.0,0
PYR,DCF,150,309,0,0.0,0,0.0,0
TEB,DCF,150,309,0,0.0,0,0.0,0
ALA,NPX,150,156,0,0.0,0,0.0,0
DIU,NPX,150,156,0,0.0,0,0.0,0
SIM,NPX,150,156,0,0.0,0,0.0,0
CAR,NPX,150,156,0,0.0,0,0.0,0
PYR,NPX,150,156,0,0.0,0,0.0,0
TEB,NPX,150,156,0,0.0,0,0.0,0
ALA,NXP,150,153,0,0.0,0,0.0,0
DIU,NXP,150,153,0,0.0,0,0.0,0
SIM,NXP,150,153,0,0.0,0,0.0,0
CAR,NXP,150,153,0,0.0,0,0.0,0
PYR,NXP,150,153,0,0.0,0,0.0,0
TEB,NXP,150,153,0,0.0,0,0.0,0
ATE,IBU,108,813,0,0.0,0,0.0,0
ATE,DCF,108,309,0,0.0,0,0.0,0
ATE,NPX,108,156,0,0.0,0,0.0,0
ATE,NXP,108,153,0,0.0,0,0.0,0
