Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1.0,7,150,0.025,0.02,25,0.0,0,Synthetic,Single,2414806908442931602,3,6.103286385,3.3646322376666666,6.877306663279545,-4.460093897,8.450704225,12.910798122000001,0.877934272
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1.0,7,150,0.025,0.04,25,0.0,0,Synthetic,Single,14671488231107992085,3,9.507042254,9.311424099,1.4768846688755415,7.746478873,10.68075117,2.9342722970000006,0.61971831
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1.0,7,150,0.025,0.08,25,0.0,0,Synthetic,Single,5394955516107110419,3,7.981220657,8.079029733666667,0.44821749747873874,7.687793427,8.568075117,0.8802816899999995,0.361502347
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,13028683860888158425,6,4.104477612,4.334578331,1.072607489803803,2.777777778,5.907668232,3.129890454,0.5074626865
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1.0,7,150,0.025,0.16,25,0.0,0,Synthetic,Single,9329510865556569266,3,4.430751174,4.528560250666668,0.4482174974787388,4.137323944,5.017605634,0.8802816899999995,0.291079812
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1.0,7,150,0.025,0.02,25,0.0,0,Synthetic,Single,13757288057589394229,3,7.239819005,6.787330316666666,1.1971725391399322,5.429864253,7.692307692,2.262443439,0.85520362
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1.0,7,150,0.025,0.04,25,0.0,0,Synthetic,Single,10701338252587666226,3,7.918552036,7.616892911000001,0.727273812824994,6.787330317,8.14479638,1.3574660630000004,0.683257919
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1.0,7,150,0.025,0.08,25,0.0,0,Synthetic,Single,2662130452805109752,3,6.900452489,6.900452489,0.3393665160000001,6.561085973,7.239819005,0.6787330320000002,0.447963801
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,9344190058510335910,5,5.354449472,5.3695324282,0.5125986566170856,4.826546003,5.957767722,1.131221719,0.357466063
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1.0,7,150,0.025,0.16,25,0.0,0,Synthetic,Single,8985821796001814677,3,4.751131222,4.694570136,0.1496465674397369,4.524886878,4.807692308,0.2828054299999998,0.239819005
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1.0,7,150,0.025,0.02,25,0.0,0,Synthetic,Single,14281957920571741131,3,13.93289842,14.398881639999999,2.135403397868869,12.53494874,16.72879776,4.193849019999998,0.721342032
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1.0,7,150,0.025,0.04,25,0.0,0,Synthetic,Single,15902432291049124608,3,11.62628145,12.32525629,1.6309412871428572,11.16029823,14.18918919,3.02889096,0.534948742
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1.0,7,150,0.025,0.08,25,0.0,0,Synthetic,Single,1505112194037230266,3,8.492544268,8.566324945333333,0.23598189820069637,8.376048462,8.830382106,0.4543336440000001,0.320596459
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,14450537765661535684,5,7.037401575,6.592296927,0.9264898953383212,5.558118081,7.529527559,1.971409478,0.155511811
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1.0,7,150,0.025,0.16,25,0.0,0,Synthetic,Single,16262747756010670379,2,5.554872047,5.554872047,0.04349820256056259,5.524114173,5.585629921,0.061515747999999704,0.1112204725
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1.0,7,150,0.025,0.02,25,0.0,0,Synthetic,Single,6925483197734149592,3,19.68085106,21.044735403333334,2.7243568393676596,19.27168576,24.18166939,4.909983629999999,0.606382979
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1.0,7,150,0.025,0.04,25,0.0,0,Synthetic,Single,5356653380886760083,3,17.40998363,17.2735952,1.0297100951884928,16.18248773,18.22831424,2.0458265100000013,0.303600655
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1.0,7,150,0.025,0.08,25,0.0,0,Synthetic,Single,13080753195173083797,3,10.34165303,10.443944353333332,0.27063740911910633,10.2393617,10.75081833,0.5114566299999996,0.172667758
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17200064123136545815,6,7.45485229,7.2949386254999995,0.6016815690206356,6.169542591,7.780960175,1.6114175839999998,0.10541772499999999
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,1440,1.0,7,150,0.025,0.16,25,0.0,0,Synthetic,Single,15793380046204862968,3,5.784574468,5.733428805333333,0.13531870437057125,5.579991817,5.835720131,0.2557283140000006,0.074468085
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,30,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,10475975198032467839,3,2.044465174,1.9667288556666669,0.3562325630096835,1.578047264,2.277674129,0.6996268650000002,0.754664179
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,60,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17283328123470425000,3,2.277674129,2.277674129333333,0.07773631850000018,2.199937811,2.355410448,0.15547263700000036,0.726679104
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,120,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,10606982039286105870,3,2.277674129,2.225849917,0.23748837530341937,1.966728856,2.433146766,0.4664179100000001,0.726679104
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,180,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17852857923161742115,3,2.821828358,2.174025705,1.1899836755355713,0.80068408,2.899564677,2.098880597,0.661380597
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,360,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,7305112965598724702,3,2.977300995,2.7440920396666666,0.8408468457045742,1.811256219,3.443718905,1.632462686,0.642723881
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,540,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,741865231698718314,3,3.521455224,3.4178067996666663,0.47497675115238347,2.899564677,3.832400498,0.9328358210000003,0.577425373
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,5733254180865877589,12,3.9878731345,3.238550649,1.6115949906450708,-0.987251244,4.653802497,5.641053741,0.521455224
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,30,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,2521957002364849440,3,3.46907994,3.5193564606666663,0.2303959626159921,3.318250377,3.770739065,0.45248868799999986,0.583710407
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,60,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,1576926578540372023,3,3.619909502,3.6199095023333334,0.37707390649999994,3.242835596,3.996983409,0.7541478129999999,0.56561086
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,120,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,14454853857174500785,3,3.921568627,3.770739064666666,0.32872541071945344,3.393665158,3.996983409,0.6033182509999997,0.529411765
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,180,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,6227497803072774388,3,4.600301659,4.600301659333334,0.1508295624999998,4.449472097,4.751131222,0.3016591249999996,0.447963801
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,360,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,9743332161890580353,3,4.600301659,4.5751633986666675,0.11519798081700597,4.449472097,4.67571644,0.2262443430000003,0.447963801
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,540,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,11787025835843549181,3,4.751131222,4.776269482,0.11519798125344141,4.67571644,4.901960784,0.2262443439999995,0.429864253
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,2745138070681387378,7,4.826546003,4.520262899285714,0.71285810739142,3.092006033,5.170421722,2.0784156890000003,0.42081448
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,30,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,15953553129323897234,2,4.520295203,4.520295203,0.05435937686172368,4.481857319,4.558733087,0.07687576799999984,0.457564576
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,60,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,3239608308610899565,3,4.712484625,4.789360393666667,0.20339416605390168,4.635608856,5.0199877,0.38437884399999955,0.434501845
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,120,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,11790847577502814219,3,4.866236162,4.994362443666667,0.29104696318480267,4.789360394,5.327490775,0.5381303810000002,0.416051661
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,180,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,12344897762132747990,2,5.0584255845,5.0584255845,0.05435937756883052,5.0199877,5.096863469,0.07687576899999993,0.39298893
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,360,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,12628378825739221659,3,5.173739237,5.096863468333333,0.42802616547670785,4.635608856,5.481242312,0.8456334559999998,0.379151292
