Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,11571363323994422393,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5689367491538143357
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,13730983664455822737,3,7.034183792,7.015344013,0.03940904403601653,6.970051156,7.041797091,0.07174593500000004,4.64829081,1096784735608121317
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,10330321954825366842,3,7.690816808,7.537005756,0.2994775241378369,7.191877547,7.728322913,0.5364453660000006,4.61545916,15759217840397529228
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,2261804137356399296,3,7.723951871,7.735170345333333,0.04674852662052439,7.695051756,7.786507409,0.09145565300000058,4.613802406,2696145427409326382
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,14862933898312971491,3,7.595198258,7.737262468,0.3447524704097232,7.486242425,8.130346721,0.6441042960000001,4.620240087,11439354181120003123
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,13062667292130770460,3,7.774747224,7.743485466,0.07017021935236607,7.66311753,7.792591644,0.12947411399999975,4.611262639,1684055843099262994
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,720,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,11360708515793870783,3,7.716410622,7.746044580333333,0.08722684404669707,7.677495537,7.844227582,0.16673204499999983,4.614179469,8236421189069109735
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,960,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,17934866632876365395,3,7.799828681,7.748131366333333,0.1406602185351818,7.588937901,7.855627517,0.26668961599999985,4.610008566,952598309744334275
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,948275424414011875,9,7.688137114,7.50532153311111,0.34370207063329833,6.889439478,7.806553361,0.9171138829999999,4.615593144,4139749840015379763
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,7336096169869531707,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4779059698726194465
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,13040442634479143091,3,7.29824758,7.291127958333334,0.014042789428247491,7.274951366,7.300184929,0.02523356300000046,4.635087621,14609390245561545561
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,18180536059381189200,3,8.016067183,7.9995730363333335,0.11228977867237774,7.879948444,8.102703482,0.22275503800000074,4.599196641,11262522506789243568
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,258951804533649290,3,7.965712136,8.02522022,0.14120769407223627,7.923506761,8.186441763,0.26293500199999986,4.601714393,2025915410812687386
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,487517800222060385,3,8.097699999,8.026450409333334,0.21425236799465178,7.785650813,8.196000416,0.41034960300000023,4.595115,6645138200345112671
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,15849705038690546430,3,8.028940142,8.027464448666668,0.02768476106185591,7.999071354,8.05438185,0.0553104960000006,4.598552993,2622894951761160502
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,720,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,15135560973983903317,3,7.990681514,8.029740699666668,0.06795083178565722,7.990337275,8.10820331,0.11786603500000048,4.600465924,6852825768155583275
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,960,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,11819767102380978801,3,8.049762635,8.031010917000001,0.04321518630976569,7.981587185,8.061682931,0.08009574599999958,4.597511868,4425738716744852239
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1440,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,13057034301103641185,3,8.021743133,8.031082966999998,0.024963182307863995,8.012136447,8.059369321,0.047232874000000535,4.598912843,14690339764569626975
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,3044970565392297777,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8480494118045000923
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,671441796495690393,3,34.30139377,33.928334119999995,2.364359823301865,31.39962214,36.08398645,4.684364309999996,3.284930311,7811553911691340547
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,5353729134214559074,3,49.35800117,48.42323056666667,2.339151842324047,45.76124182,50.15044871,4.389206889999997,2.532099942,6547792352909482942
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,6475163611164689832,3,55.87545732,54.99503387666667,1.7190022029558174,53.01416986,56.09547445,3.081304589999995,2.206227134,17655501512134679260
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,1327007414464515819,3,59.45369978,59.026266283333335,1.9548158278288743,56.8931016,60.73199747,3.8388958700000018,2.027315011,9301390236859822453
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,9622706826193284964,3,60.82747993,59.71035307333333,2.004650420739984,57.39604365,60.90753564,3.511491989999996,1.958626004,5398041946777581528
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,720,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,7893682637923985895,3,60.91622169,59.79447295333333,2.008119434168586,57.47609937,60.9910978,3.5149984299999986,1.954188915,13284761567546254833
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,960,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,14576096014050611579,3,60.91840721,59.84156172666667,2.0339419576717543,57.49559293,61.11068504,3.615092109999999,1.954079639,4197933424706407205
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,1440,5.0,7,150,0.05,0.05,25,0.0,0,Lake water,Single,11077069684822949355,3,60.91919976,59.90518200666667,1.9545236053537933,57.65203782,61.14430844,3.4922706200000064,1.954040012,6537852781442106997
