Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,13428427879164385114,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5689367491538143357
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,13770704506802718818,3,7.201826303,7.198970389,0.01328242899461231,7.184492308,7.210592556,0.02610024799999966,4.639908685,1096784735608121317
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,15910472553448016793,3,7.56996129,7.572679569666666,0.16244286503394073,7.411612903,7.736464516,0.3248516129999999,4.621501935,15759217840397529228
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,17955016725863008543,3,7.776770223,7.811186766,0.08143051981335894,7.752615385,7.90417469,0.15155930499999926,4.611161489,2696145427409326382
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7007229758270957084,3,7.821879901,7.841466336,0.05717271014236218,7.796661042,7.905858065,0.10919702300000012,4.608906005,11439354181120003123
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,16009518634501299427,3,7.906795037,7.920404962666666,0.07515726149038074,7.85298263,8.001437221,0.14845459100000014,4.604660248,1684055843099262994
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,720,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7568016021271599136,3,7.908859553,7.926386765666667,0.07576340614646374,7.860923077,8.009377667,0.14845459000000094,4.604557022,8236421189069109735
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,960,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7404151809339923628,3,7.910066501,7.932373862666666,0.08415318597338552,7.861621836,8.025433251,0.16381141500000052,4.604496675,952598309744334275
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,3907017987546331420,9,7.559313003,7.656097010444444,0.23627891075146756,7.308918444,8.048285856,0.739367412,4.62203435,4139749840015379763
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,15460659072306750500,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4779059698726194465
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,10726803696403312588,3,7.346596526,7.357104383666666,0.08052379677839823,7.282350372,7.442366253,0.16001588100000053,4.632670174,14609390245561545561
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,3581469070947697807,3,8.08533598,8.031454755666667,0.10583733337860453,7.90951861,8.099509677,0.18999106700000024,4.595733201,11262522506789243568
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,16103434741383707209,3,8.20569727,8.211679073666666,0.03733189764367207,8.177699256,8.251640695,0.07394143900000039,4.589715136,2025915410812687386
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,573048783801505426,3,8.226239206,8.225363110000002,0.03379908795599298,8.191134491,8.258715633,0.06758114199999987,4.58868804,6645138200345112671
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,10112251151466469973,3,8.224794045,8.227679073666666,0.03711842800266097,8.192087345,8.266155831,0.0740684860000016,4.588760298,2622894951761160502
