Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,0,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,8181753403025536020,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4606319618248362964
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,30,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,7236922260448317948,3,14.17120229,14.01834743,0.6716445252299992,13.28344987,14.60039013,1.316940259999999,27.87431966,5203743586402545340
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,60,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,10541473202442348931,3,16.32788388,16.40537605,1.2502751686271982,15.19564938,17.69259489,2.496945509999998,27.55081742,11119306344126108049
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,120,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,14139316452646737785,3,17.22177881,16.848227573333332,0.9781072829180306,15.73839266,17.58451125,1.846118589999998,27.41673318,11527717656905264619
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,240,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,9763024518987940014,3,16.51826825,15.77644383,1.3914839198679787,14.17123024,16.639833,2.4686027599999996,27.52225976,11292412908033921114
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,480,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,15887886292177259301,3,16.7887568,14.77496083,3.8552938535543846,10.3297842,17.20634149,6.876557289999999,27.48168648,3024539414377595327
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,720,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,17949875270163903850,3,17.23071592,16.41498572,1.448057184474923,14.7430764,17.27116484,2.528088440000001,27.41539261,10422153446086623198
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,960,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,4187943329359161438,3,17.23813835,15.224172846666667,3.615335731888597,11.05039208,17.38398811,6.333596030000001,27.41427925,5392787669627476874
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,1440,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,9458265099261401006,3,17.23813835,15.224172846666667,3.615335731888597,11.05039208,17.38398811,6.333596030000001,27.41427925,8073319218673899866
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,0,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,7977060853338463678,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,13623055413736580102
