Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,17053035532018455372,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4606319618248362964
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,30,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,17098923533429936836,3,14.44646584,14.467987966666668,0.08786279052749504,14.39288595,14.56461211,0.1717261600000004,27.83303012,5203743586402545340
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,60,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,13215046423171528219,3,15.62173129,15.65448749,0.11367205274187188,15.56079012,15.78094106,0.2201509399999999,27.65674031,11119306344126108049
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,120,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,16825237191054845665,3,16.88164032,16.966549983333334,0.17683670217609213,16.84818199,17.16982764,0.32164565000000067,27.46775395,11527717656905264619
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,240,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,6982030516250217062,3,17.00858908,17.02595755333333,0.05237181713622697,16.98447647,17.08480711,0.10033063999999925,27.44871164,11292412908033921114
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,480,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,2755595898843553677,3,17.4625326,17.497639086666666,0.06566522646528536,17.45698947,17.57339519,0.11640571999999949,27.38062011,3024539414377595327
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,720,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,12146535126227506594,3,17.54960963,17.552580746666667,0.0294855290482844,17.52469326,17.58343935,0.05874608999999964,27.36755856,10422153446086623198
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,960,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,2569984335539275158,3,17.71590352,17.990487990000002,0.5586744388442485,17.62224125,18.6333192,1.0110779500000007,27.34261447,5392787669627476874
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NXP,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,6648755328613141350,3,16.30019973,16.47798738666667,0.5008810086928075,16.09025196,17.04351047,0.9532585100000013,27.55497004,8073319218673899866
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,1214539223634647286,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,13623055413736580102
