trajectory_id,n_endpoint_rows,efficiency_unique,efficiency_min,efficiency_max,efficiency_spread,final_concentration_unique,final_concentration_spread,k1_unique,k2_unique
0,3,3,32.36714975490093,35.99033814775432,3.6231883928533932,3,0.68965517,3,3
1,3,3,38.526570028005324,42.14975847339495,3.623188445389623,3,0.689655179999999,3,3
2,3,3,37.61594202625972,40.154106294191735,2.538164267932018,3,0.4831264399999995,3,3
3,3,3,36.40748791221685,39.7869082416821,3.3794203294652476,3,0.6432551799999988,3,3
4,3,3,60.71920289994789,63.08616667133434,2.3669637713864518,3,0.450539311,3,3
5,3,3,71.56214191238679,73.84703623540963,2.28489432302284,3,0.43491781600000046,3,3
6,3,3,85.52358695666496,86.4547584533366,0.931171496671638,3,0.17724367799999996,3,3
7,14,14,91.99999999894926,99.9739789829729,7.973978984023631,14,1.5178056549999999,14,14
8,3,3,79.43441483355548,82.42179390326653,2.9873790697110536,3,0.5686321539999999,3,3
9,3,3,85.3206006266072,87.62336042064324,2.302759794036035,3,0.438318416,3,3
10,3,3,99.08871956655155,99.44631094351838,0.3575913769668375,3,0.06806566900000001,3,3
11,3,3,95.71406521896999,98.49335905989179,2.7792938409217953,3,0.529024207,3,3
12,6,6,72.77125603911078,78.41236232257882,5.641106283468034,6,1.0737554029999998,6,6
13,3,3,98.99999999789854,99.15756038647409,0.157560388575547,3,0.02999080499999998,3,3
14,3,3,99.00789195912985,99.08937198249353,0.08148002336368165,3,0.015509301000000003,3,3
15,3,3,98.80961352689786,98.96787439681391,0.15826086991604882,3,0.030124137999999995,3,3
16,3,3,98.94955861148917,99.1691079710747,0.21954935958552824,3,0.041790085000000005,3,3
17,3,3,93.2893719829138,95.81437197928881,2.5249999963750014,3,0.4806206890000001,3,3
18,3,3,83.7237922718316,86.42512077380977,2.7013285019781677,3,0.5141839080000001,3,3
19,3,3,64.99461352844241,70.34344203004757,5.348828501605155,3,1.018121839,3,3
20,3,3,43.89547704210903,47.51908213133919,3.6236050892301606,3,0.689734485999999,3,3
21,3,3,32.663647330966405,34.994379222101855,2.33073189113545,3,0.44364275999999947,3,3
22,3,3,22.045507266518435,24.94482434783008,2.899317081311647,3,0.55187001,3,3
23,3,3,42.082850219776596,43.41304349685412,1.3301932770775267,3,0.25319541,3,3
24,3,3,46.17801933904507,50.17560386810322,3.9975845290581447,3,0.7609195379999996,3,3
25,3,3,52.76268116465488,55.62139408509991,2.8587129204450292,3,0.544141218,3,3
26,8,8,91.99999999894926,95.69504831136267,3.6950483124134053,8,0.703333334,8,8
27,3,3,70.39613526645681,72.77125603911078,2.375120772653972,3,0.45209195400000013,3,3
28,3,3,78.99921014717397,81.34475845352574,2.3455483063517732,3,0.44646298799999995,3,3
29,3,3,89.42688405891835,91.19999999936957,1.7731159404512198,3,0.3375034479999999,3,3
30,3,3,89.42753623319365,91.0442029001055,1.6166666669118541,3,0.307724138,3,3
31,6,6,68.00000000105074,75.18642512353722,7.186425122486483,6,1.3678988509999996,6,6
32,3,3,98.96570048431408,99.0755253598496,0.10982487553552289,3,0.020904596999999997,3,3
33,3,3,98.97869565224792,99.18532125639962,0.2066256041516965,3,0.039330115,3,3
34,3,3,98.82198067671581,98.99934782362322,0.1773671469074145,3,0.033760919,3,3
35,3,3,98.84492753613442,99.34524154624309,0.5003140101086672,3,0.095232184,3,3
36,3,3,81.32246376838243,85.00000000000001,3.67753623161758,3,0.6999999999999997,3,3
37,3,3,77.00000000420289,78.81642512254953,1.8164251183466433,3,0.345747126,3,3
38,3,3,57.00000000420289,59.48671497811691,2.486714973914019,3,0.47333333300000113,3,3
39,3,3,36.999210163985566,38.109420316079024,1.1102101520934582,3,0.21132275999999983,3,3
40,3,3,32.893719829138135,35.428055571708114,2.5343357425699793,3,0.48239769999999993,3,3
41,3,3,16.951690837539736,18.429951705186237,1.478260867646501,3,0.28137931000000016,3,3
42,3,3,44.862318864502726,46.07004829376304,1.2077294292603113,3,0.22988505000000004,3,3
43,3,3,52.913707732397555,54.10628019607926,1.1925724636817066,3,0.2270000000000003,3,3
44,3,3,60.69444444940619,62.49491545942065,1.800471010014462,3,0.34271034399999944,3,3
45,8,8,84.85507246323513,87.25695652157557,2.4018840583404426,8,0.4571862069999999,8,8
46,3,3,67.0000000042029,68.7857487964648,1.7857487922618986,3,0.3399080460000006,3,3
47,3,3,71.56400966474173,74.00000000315217,2.435990338410434,3,0.4636781609999998,3,3
48,3,3,87.53623188550462,87.79999999852897,0.263768113024355,3,0.05020689600000017,3,3
49,3,3,83.87198067997305,85.29999999852899,1.4280193185559398,3,0.2718160909999998,3,3
50,6,6,61.16497584828514,70.0,8.835024151714862,6,1.6817011490000002,6,6
51,3,3,89.11352657107872,90.15217391176435,1.0386473406856283,3,0.19770114900000002,3,3
52,3,3,95.0,96.93236714985997,1.9323671498599708,3,0.367816092,3,3
53,3,3,93.42995168942537,95.0,1.5700483105746343,3,0.298850575,3,3
54,3,3,95.0,96.92584541236045,1.9258454123604452,3,0.366574713,3,3
55,3,3,81.81811594443347,83.15217391281506,1.334057968381586,3,0.2539310340000003,3,3
56,3,3,73.44202898634478,76.08695652310963,2.644927536764854,3,0.5034482760000003,3,3
57,3,3,51.853381646604824,54.29347826418164,2.4400966175768133,3,0.46445977000000127,3,3
58,3,3,31.778985519436304,33.99275363340632,2.213768113970019,3,0.42137931000000073,3,3
59,3,3,22.05314009803963,23.254830907735155,1.201690809695524,3,0.2287356299999992,3,3
60,3,3,13.340579736352137,15.756038647408973,2.4154589110568363,3,0.45977010999999735,3,3
61,2,2,1.9999999999999927,2.2000000000000064,0.20000000000001372,2,0.02000000000000135,2,2
62,3,3,72.0,72.39999999999999,0.3999999999999915,3,0.040000000000000036,3,3
63,3,3,79.60000000000001,80.7,1.0999999999999943,3,0.1100000000000001,3,3
64,3,3,84.89999999999999,85.8,0.9000000000000057,3,0.09000000000000008,3,3
65,3,3,95.60000000000001,96.50000000000001,0.9000000000000057,3,0.09000000000000002,3,3
66,3,3,89.8,90.3,0.5,3,0.050000000000000044,3,3
67,3,3,74.2,74.70000000000002,0.5000000000000142,3,0.050000000000000266,3,3
68,3,3,78.8,80.1,1.2999999999999972,3,0.13000000000000012,3,3
69,3,3,85.50000000000001,86.20000000000002,0.7000000000000028,3,0.07000000000000006,3,3
70,3,3,72.39999999999999,73.4,1.0000000000000142,3,0.09999999999999964,3,3
71,3,3,86.4,87.20000000000002,0.8000000000000114,3,0.08000000000000007,3,3
72,3,3,93.39999999999999,94.5,1.1000000000000085,3,0.10999999999999999,3,3
