catalyst,hydrothermal_synthesis_time_min,energy_band_gap_eV,C_%,O_%,Fe_%,Al_%,Ni_%,Mo_%,S_%,Bi,Ag,Pd,Pt,surface_area_m2/g,pore_volume_cm3/g,pore_size_nm,volume_l,loading_g,light_intensity_watt,light_source_dist_cm,time_m,dye,log_kw,hydrogen_bonding_accep_count,hydrogen_bonding_donor_count,solubility_g/l,molecular_wt_g/M,pka1,pka2,dye_conc_mg/l,solution_ph,ha_mg/l,anions,final_concentration_mg/l,k_1st,k_2nd,efficiency_%,_trajectory_id,_dye_domain,_matrix_stressed,_matrix_domain
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,12.87356322,0.002607175804023524,0.00016761559692407077,32.36714975490093,0,Indigo,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,11.01149425,0.003648750382051791,0.0002551864292374606,42.14975847339495,1,Indigo,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,11.39135632,0.003422649107325318,0.0002349975142918523,40.154106294191735,2,Indigo,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,11.46125057,0.00241562088689675,0.00016530610395470467,39.7869082416821,3,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,7.026357241,0.006643892121589721,0.0005985668391886455,63.08616667133434,4,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,5.18727694,0.008666955541658977,0.0009349542791817617,72.7480015853081,5,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,2.755510345,0.012884330318129446,0.002069152987984033,85.52358695666496,6,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.104491954,0.024785225819618815,0.04532180291239665,99.45103864750354,7,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,35,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,3.345920609,0.008278620672461075,0.0011730246432535654,82.42179390326653,8,Indigo,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,70,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,2.355829327,0.009949330452611318,0.0017711558832341433,87.62336042064324,9,Indigo,False,controlled
