catalyst,hydrothermal_synthesis_time_min,energy_band_gap_eV,C_%,O_%,Fe_%,Al_%,Ni_%,Mo_%,S_%,Bi,Ag,Pd,Pt,surface_area_m2/g,pore_volume_cm3/g,pore_size_nm,volume_l,loading_g,light_intensity_watt,light_source_dist_cm,time_m,dye,log_kw,hydrogen_bonding_accep_count,hydrogen_bonding_donor_count,solubility_g/l,molecular_wt_g/M,pka1,pka2,dye_conc_mg/l,solution_ph,ha_mg/l,anions,final_concentration_mg/l,k_1st,k_2nd,efficiency_%,_trajectory_id,_time_numeric,_endpoint_rows,_dye_norm,_catalyst_norm,_matrix_stressed,_matrix_domain
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,12.64367816,0.00272729917535956,0.00017703118144273434,33.57487923669747,0,150,3,indigo,lth,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,11.44827586,0.0033894205174252894,0.0002320877715059765,39.85507247899601,1,150,3,indigo,lth,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,11.67816092,0.0032568780455991433,0.0002206245958414684,38.647342997199466,2,150,3,indigo,lth,False,controlled
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.269,8.29,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,11.55172414,0.0023781786397399436,0.0001620520584921377,39.3115941964267,3,210,3,indigo,lth,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,7.276931954,0.006410285852488276,0.0005658954619818047,61.76974154878479,4,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,5.18727694,0.008666955541658977,0.0009349542791817617,72.7480015853081,5,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,2.658728276,0.01312269533080727,0.002157222916313002,86.03204347854839,6,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.0977632185,0.025113491782523263,0.048690216274869136,99.48638888835242,7,210,14,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,35,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,3.851618391,0.007608375214722617,0.0009861661380231362,79.76504830961846,8,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,70,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,2.62996374,0.009425153130193799,0.0015604626062235545,86.18316151187078,9,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,16,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.157575637,0.022829056749689446,0.02996963081097818,99.17215697958896,10,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,23,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.472055172,0.017604341079810674,0.009837429604354807,97.52000000235361,11,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.01,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,4.6627206900000004,0.006699355490829874,0.0007715313822940152,75.50382246373161,12,210,6,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.03,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.180354023,0.022186122769611707,0.026152924457786213,99.0524879227136,13,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.04,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.18156092,0.022154363097973227,0.02597741411917038,99.04614734064884,14,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.05,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.198942529,0.021719007196791262,0.023685909841583124,98.95483091656125,15,210,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,10,11.0,0,N/A,0.173793103,0.03130761311230432,0.03800954691286392,99.08695652416036,16,150,3,indigo,lm1,False,controlled
