_trajectory_id,n_timepoints
0,3
1,3
2,3
3,33
4,3
5,3
6,3
7,46
8,3
9,3
10,3
11,3
12,6
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,46
27,3
28,3
29,3
30,3
31,6
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,47
46,3
47,3
48,3
49,3
50,6
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,23
62,27
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,28
71,28
72,28
73,28
74,28
75,28
76,27
77,28
78,28
79,26
80,28
81,28
82,22
83,28
84,28
85,28
86,28
87,24
88,20
89,28
90,24
91,25
92,28
93,28
94,28
95,26
96,20
97,22
98,28
