feature,controlled_mean,stressed_mean,smd_stressed_minus_controlled,abs_smd
solution_ph,5.5875,7.0,1.6919909318327562,1.6919909318327562
dye_conc_mg/l,15.3125,5.0,-0.7565942235939803,0.7565942235939803
light_intensity_watt,90.3125,105.0,0.6267818193862643,0.6267818193862643
loading_g,0.140625,0.15,0.2912026699308822,0.2912026699308822
hydrothermal_synthesis_time_min,960.0,960.0,0.0,0.0
Al_%,0.0,0.0,0.0,0.0
Ni_%,0.0,0.0,0.0,0.0
Mo_%,0.0,0.0,0.0,0.0
S_%,0.0,0.0,0.0,0.0
energy_band_gap_eV,2.1,2.1,0.0,0.0
C_%,0.0,0.0,0.0,0.0
O_%,26.1,26.1,0.0,0.0
Fe_%,16.99,16.99,0.0,0.0
Pt,0.0,0.0,0.0,0.0
Pd,2.01,2.01,0.0,0.0
Ag,0.0,0.0,0.0,0.0
Bi,54.9,54.9,0.0,0.0
volume_l,0.1,0.1,0.0,0.0
pore_size_nm,2.67,2.67,0.0,0.0
surface_area_m2/g,22.9,22.9,0.0,0.0
pore_volume_cm3/g,0.0046,0.0046,0.0,0.0
log_kw,1.3976,1.3976,0.0,0.0
light_source_dist_cm,12.0,12.0,0.0,0.0
hydrogen_bonding_accep_count,2.0,2.0,0.0,0.0
hydrogen_bonding_donor_count,0.0,0.0,0.0,0.0
molecular_wt_g/M,364.911,364.911,0.0,0.0
solubility_g/l,40.0,40.0,0.0,0.0
pka2,10.3,10.3,0.0,0.0
pka1,6.9,6.9,0.0,0.0
