feature,source_n,target_n,source_mean,target_mean,source_median,target_median,smd_target_minus_source,abs_smd
Pd,90,9,0.4078888888888888,2.01,0.0,2.01,2.7541886375591624,2.7541886375591624
loading_g,90,9,0.05355555555555556,0.15,0.02,0.15,2.6035088899799663,2.6035088899799663
Fe_%,90,9,11.192666666666668,16.99,9.95,16.99,2.2524388853900956,2.2524388853900956
Bi,90,9,17.08477777777778,54.9,0.0,54.9,2.0917600984034466,2.0917600984034466
log_kw,90,9,2.524744444444445,1.3976,3.0606,1.3976,-2.039645375231926,2.039645375231926
pka1,90,9,7.645555555555556,6.9,8.0,6.9,-2.039645375231926,2.039645375231926
volume_l,90,9,0.04577777777777777,0.1,0.02,0.1,2.0396453752319257,2.0396453752319257
hydrogen_bonding_accep_count,90,9,6.7444444444444445,2.0,9.0,2.0,-2.0396453752319252,2.0396453752319252
hydrogen_bonding_donor_count,90,9,1.3555555555555556,0.0,2.0,0.0,-2.0396453752319252,2.0396453752319252
solubility_g/l,90,9,19.666666666666668,40.0,10.0,40.0,2.0396453752319252,2.0396453752319252
molecular_wt_g/M,90,9,433.6708777777778,364.911,466.36,364.911,-2.0396453752319244,2.0396453752319244
pka2,90,9,11.926666666666666,10.3,12.7,10.3,-2.0396453752319244,2.0396453752319244
Ni_%,90,9,8.128333333333332,0.0,10.85,0.0,-1.988056835431764,1.988056835431764
Al_%,90,9,7.569000000000001,0.0,10.08,0.0,-1.9520903606637423,1.9520903606637423
pore_volume_cm3/g,90,9,0.10193777777777777,0.0046,0.0956,0.0046,-1.7747241164766459,1.7747241164766459
C_%,90,9,11.125444444444444,0.0,11.16,0.0,-1.6412697018543374,1.6412697018543374
Mo_%,90,9,1.2497777777777777,0.0,1.13,0.0,-1.551070453273262,1.551070453273262
O_%,90,9,36.539666666666676,26.1,33.0,26.1,-1.5052169245319427,1.5052169245319427
pore_size_nm,90,9,8.309666666666667,2.67,7.6,2.67,-1.3133762758054448,1.3133762758054448
dye_conc_mg/l,90,9,25.38888888888889,5.0,20.0,5.0,-1.2981203954950946,1.2981203954950946
energy_band_gap_eV,90,9,2.93988888888889,2.1,2.66,2.1,-1.2605251389708647,1.2605251389708647
S_%,90,9,5.452999999999999,0.0,2.69,0.0,-1.1849061508517242,1.1849061508517242
surface_area_m2/g,90,9,52.22277777777777,22.9,22.9,22.9,-1.102957082186446,1.102957082186446
ha_mg/l,90,9,0.0,2.6666666666666665,0.0,0.0,0.9990248656871402,0.9990248656871402
hydrothermal_synthesis_time_min,90,9,1145.3333333333333,960.0,1320.0,960.0,-0.9334137282035845,0.9334137282035845
solution_ph,90,9,8.702777777777778,7.0,11.0,7.0,-0.898627189941794,0.898627189941794
light_source_dist_cm,90,9,10.666666666666666,12.0,9.0,12.0,0.6512973693562373,0.6512973693562373
light_intensity_watt,90,9,98.88888888888889,105.0,105.0,105.0,0.43618993128508265,0.43618993128508265
Ag,90,9,0.09666666666666666,0.0,0.0,0.0,-0.26825816391340573,0.26825816391340573
Pt,90,9,0.041666666666666664,0.0,0.0,0.0,-0.24445143689316948,0.24445143689316948
k_1st,90,9,inf,inf,0.007804619679176351,inf,0.0,0.0
k_2nd,90,9,inf,inf,0.0013246885933748597,inf,0.0,0.0
